addressId-street_segId,location,lat,long
809494-8122,4500 BLK. RIVER RD. NW (SB),38.95467668818821,-77.08876524724717
800001-2,1900 BLK SOUTHERN AVENUE SE (NE/B),38.83930485645328,-76.9782178838332
807916-6783,NORTH CAPITOL N/B @ HAREWOOD NE,38.942406000000005,-77.008122
900244-3929,3RD ST. S/B @ NEW YORK AVE. N.W.,38.90520900000001,-77.01522299999999
256413-13203,7700 BLK 16TH ST NW N/B,38.983401000000015,-77.03676
810860-9309,CANAL RD NW .3 M S/O AZ AVE S/B,38.924802,-77.107122
812484-10729,600 BLK MISSOURI AVE NW SE/B,38.958685476241236,-77.02123019013287
905632-7413,K ST NE @ 11TH ST NE,38.902509,-76.9915305
232241-1543,3500 GA AVE NW,38.93311800000001,-77.024142
800701-734,BENNING N/B @ MINNESOTA NE,38.89511999999999,-76.949154
903866-2131,16TH ST S/B AT COLORADO AVE NW,38.95246800000001,-77.036445
903573-2331,14TH ST S/B AT U ST NW,38.916990000000006,-77.031954
900914-172,13TH ST AND GIRARD ST NW,38.925747,-77.029704
805990-5137,100 MASSCHUSETTS AVE NE,38.89594998163719,-77.00517416148966
907392-204,6TH ST & H ST NW,38.899809,-77.01991199999999
900014-6005,K ST E/B @ 27TH ST NW,38.90250900000001,-77.056164
811511-9879,4200 BLK SOUTH DAKOTA AVE NE N/B,38.940709646838314,-76.98150141639572
301049-6467,3400 BLK BENNING RD NE W/B,38.896983000000006,-76.952142
903709-3664,E CAPITOL W/B AT SOUTHERN AVE NE,38.88967500000001,-76.9134735
802651-2028,NEBRASKA NE/B @ FESSENDEN NW,38.95468199999999,-77.071563
903777-4229,S DAKOTA E/B @ BLADENSBURG RD NE,38.92514400000002,-76.9652235
901839-759,CONSTITUTION AVE W/B @ 15TH ST NW,38.89208700000002,-77.033655
903451-528,CONNECTICUTT & 18TH ST NW,38.90646000000001,-77.04168299999999
905468-7257,4TH ST SE @ M ST SE,38.876472,-77.000553
813624-11730,N/B 3000 16TH ST NW,38.927254182754325,-77.03652858870626
903716-1578,K ST NW @ 6TH ST NW,38.902509,-77.01991199999999
810013-8562,BRANCH N/B @ ALABAMA SE,38.861919,-76.9590045
900827-94,7TH & CONSTITUTION AVE NW,38.892087000000004,-77.02190999999999
801569-1331,2900 BLK ARIZONA AV NW SB,38.92923829305508,-77.10095857727156
903234-2357,INDEPENDENCE E/B AT 3RD ST SW,38.88756000000001,-77.015205
905702-3950,N CAPITOL ST S/B @ H ST NW,38.90020499999999,-77.009103
252834-2452,4800 BLK GEORGIA AVE NW S/B,38.94851700000001,-77.0273325
82882-11013,950 EASTERN AVE NE,38.903418000000016,-76.923243
904997-29,FLORIDA AVE NE @ 4TH ST NE,38.907152999999994,-77.000463
290016-9447,S/B 3800 14TH ST NE,38.939481,-76.9832505
