addressId-street_segId,location
277550-4175,3500 CONNECTICUT AVE NW INSIDE N/B
243367-3894,1300 U ST NW
904122-4361,K ST W/B @ 25TH ST NW
902401-1600,ALABAMA AVE SE @ G ST SE
238718-10022,600 PA AVE NW
240293-4760,1300 FLORIDA AVE NW
239136-1039,1000 FLORIDA AVE NW
806245-5367,1500 23RD ST NW
224798-9593,4200 MASSACHUSETTS AVE NW
904489-1039,11TH ST NW @ FLORIDA AVE NW
149654-7270,4400 E ST SE
151471-2351,2000 MLK JR AVE SE
910900-4927,ILLINOIS AVE NW @ GEORGIA AVE NW
242923-11794,900 U ST NW
294856-1394,4000 MINNESOTA AVE NE
814764-12732,1000 25TH ST NW
905296-6908,H ST NE @ 11TH ST NE
901986-329,N/B OREGON AVE @ TENNYSON ST NW
300368-,2800 BLK NEW YORK AVE. NE E/B
908325-4905,14TH ST N/B @ C ST SW
902787-888,PENNSYLVANIA AVE SE/B @ 27TH ST SE
239834-8606,900 PENNSYLVANIA AVE NW
806674-5725,CONNECTICUT N/B @ MILITARY NW
806803-5837,3300 BLK MINNESOTA AVE SE (NE/B)
906670-3758,13TH PL NE @ BRYANT ST NE
266783-7908,3100 FOXHALL RD S/B NW
218242-4920,500 FLORIDA AVE NW
906206-2701,H ST NE @ 4TH ST NE
239125-12879,900 11TH ST NW
903512-555,I ST NW @ 16TH ST NW
807944-6804,801 RHODE ISLAND AVE NE
900101-1912,SOUTH CAP & I ST SW
901991-951,16TH ST N/B AT OAK ST NW
806650-5703,E CAPITOL E/B AT TEXAS SE
911304-5003,EASTERN AVE NE @ NORTH CAPITOL ST *
901451-1020,S/B 32ND AT JOCELYN ST NW
906197-9248,HAYES ST NE @ DIVISION AVE NE
53547-,1929 NORTH CAPITOL ST NE
800345-292,W/B 3000 NY AVE NE
900353-713,6TH & PENN AVE NW
809370-8009,2500 CT AVE NW
306738-13974,1300 BLK 2ND ST NE
900640-409,MORRIS RD SE @ ELVANS RD SE
906264-9414,BENNING RD NE @ 44TH ST NE
905026-4845,NEW YORK AVE NW @ 6TH ST NW
903848-3212,SARATOGA AVE NE @ 14TH ST NE
904729-2571,SHERIFF RD NE @ 48TH ST NE
907458-4425,TAYLOR ST NE @ 2ND ST NE
903242-2776,NORTH CAROLINA & PA AVE SE
902947-1812,FLORIDA AVE NE @ ORREN ST NE
903632-3547,MADISON ST NW @ GEORGIA AVE NW
903109-2639,MADISON DRIVE AND 14TH ST NW
906941-1303,RHODE ISLAND AVE NE @ 2ND ST NE
907297-1431,14TH ST NW @ SHERIDAN ST NW
813907-11977,5300 SOUTH DAKOTA AVE NE
266055-2734,4900-4800 BLK WISCONSIN AVE NW
294861-13030,700 14 ST SE
801318-1289,4900 NANNIE HELEN BURROUGHS AVE NE*
810762-9221,700 9TH ST NW
50750-1432,2200 32ND ST SE
22524-10046,4400 SHERIFF RD NE
253189-15302,5900 GEORGIA AVE NW
227783-3147,2 W ST NW
901026-277,2ND AND H ST NW
811878-10186,200 CEDAR ST NW
287175-,2700 BLK NEW YORK AVE NE (W/B)
42703-11223,300 51ST ST SE
279044-3894,1314 U ST NW
900924-182,H ST NW @ VERMONT AVE NW
300091-1634,400 8TH ST SE
905842-7750,ALABAMA AVE & AINGER PL SE
903183-4503,5TH & E ST NW
904851-761,4TH ST SE @ 6TH ST SE
800378-320,CONNECTICUT S/B @ NEBRASKA NW
814123-12169,3800 MASSACHUSETTS AVE SE
284453-10479,2700 BLK CATHEDRAL AVE
295161-3293,2600 BENNING RD NE
304809-11938,2000 BLADENSBURG RD NE
804807-4141,1000 14TH ST NW
810467-8971,300 53 ST SE
911283-9001,ROCK CREEK CHURCH RD NE @ GALLATIN*
901419-1142,MASSACHUSETTS AVE NW @ WATERSIDE D*
901876-799,KANSAS AVE NW @ GEORGIA AVE NW
279190-2331,1442 U ST NW
806334-5444,1545 T ST NW
903437-2831,10TH & U STREET NW
223105-13164,4300 CONN AVE NW
906799-1742,G ST NE @ 13TH ST NE
816435-15360,4100 MINNESOTA AVE NE
222230-2593,4000 WISCONSIN AVE NW
905477-7543,EASTERN AVE NW @ NORTH CAPITOL ST *
7315-12589,5621 NEW HAMPSHIRE AVE NE
900621-8934,MINNESOTA AVE NE @ NASH ST NE
906978-3745,TUNLAW RD NW @ 39TH ST NW
811148-9549,9 H ST NE
905984-1833,14TH ST NW @ W ST NW
901128-382,4TH ST SE @ ATLANTIC ST SE
907241-977,6TH ST SE @ SOUTHERN AVE SE
905117-6924,6TH ST NW @ C ST NW
901513-521,46TH ST NW @ YUMA ST NW
237165-7707,800 N CAPITOL ST NW
913804-14572,FT LINCOLN DR & HURSTON LN NE
287167-9135,2653 DOUGLASS RD SE
905137-734,MINNESOTA AVE NE @ BENNING RD NE
276032-3124,5500 CONNECTICUT AVE NW
903793-4982,CONNECTICUT AVE N/B @ CALVERT ST NW
69109-7815,127 D ST SE
900776-265,19TH AND INDEPENDENCE AVE SE
905336-2166,W/B CONSTITUTION @ 17TH ST NW
293192-10736,1100 PA AVE NW
900530-4509,GEORGIA AVE NW @ HARVARD ST NW
219095-6427,2600 CONNECTICUT AVE NW
902251-1197,17TH ST NW @ PENNSYLVANIA AVE NW
900835-100,14TH ST NE @ H ST NE
801693-1408,2600 WISCONSIN AVE NW
803183-2639,100 14TH ST NW
901953-765,STANTON RD & POMEROY RD SE
906080-56,18TH ST NW @ L ST NW
903066-7025,16TH ST S/B AT IRVING ST NW
288109-7641,4100 HUNT PL NE
284782-12373,3701 NEBRASKA AVE NW
255341-5511,1368 TAYLOR ST NW
814340-12356,6900 PINEY BRANCH RD NW
801193-3557,SUITLAND E/B AT FIRTH STERLING SE
225357-5871,1300 Q ST NW
903210-2731,GEORGIA AVE S/B AT MISSOURI AVE NW
903768-3944,JENIFER ST @ 44TH ST NW
804056-3442,1900 BLK 15 ST SE
903713-164,N ST NW @ CONNECTICUT AVE NW
902051-1029,36TH ST NW @ FESSENDEN ST NW
810455-8961,500 7TH ST SE
906262-184,M ST NW @ CONNECTICUT AVE NW
150787-9690,4000 4TH ST SE
903199-1884,1ST ST & R ST NW
804045-3433,1200 SOUTHERN AVE SE
810351-8870,1000 PENNSYLVANIA AVE NW
902519-1271,ERIC STREET & BRANCH AVE SE
903899-3849,13TH ST & HAMILTON ST NW
900744-26,13TH ST NE @ H ST NE
905426-4278,7TH ST NW @ INGRAHAM ST NW
903130-2667,STANTON RD SE @ ELVANS RD SE
810888-9335,200 7TH ST SW
220980-3262,3400 CONNECTICUT AVE NW
904429-1694,11TH ST AND FAIRMONT ST NW
900247-8238,MARYLAND AVE NE @ NEAL ST NE
903715-2578,6TH & MA AVE NW
905900-2382,N/B 12TH STREET & V ST NW
235788-13643,2207 ONTARIO RD NW
906413-10196,WEST BEACH DR NW @ YORKTOWN RD NW
901648-2243,MINNESOTA AVE NE @ NANNIE HELEN BU*
225558-7314,1500 9TH ST NW
805280-4529,S/B 3500 S DAKOTA AVE NE
900406-1369,H ST NW @ 8TH ST NW
297813-9432,1600 BENNING RD NE
815965-13844,3200 FT LINCOLN DR NE
813012-11188,700 G ST NW
910788-6846,19TH AND MASS AVE SE
814224-12258,1900 CALVERT ST NW
279390-3905,1800 13TH ST NW
814648-12629,3500 FULTON ST NW
900054-93,3RD ST NW @ D ST NW
908057-657,FIRST & MASSACHUSETTS AVE NE
901673-574,S/B 14TH ST @ INDEPENDENCE AVE SW
904935-46,FIRST ST AND NEW YORK AVE NE
230947-3213,3400 11 ST NW
223988-13141,4000 MASS AVE NW
