year_month,total_num_records
2016-01,55
2016-02,225
2016-03,259
2016-04,247
2016-05,158
2016-06,194
2016-07,145
2016-08,189
2016-09,124
2016-10,155
2016-11,110
2016-12,240
2017-01,106
2017-02,165
2017-03,264
2017-04,150
2017-05,247
2017-06,211
2017-07,224
2017-08,211
2017-09,178
2017-10,114
2017-11,109
2017-12,114
