year_month,total_num_records
2016-01,52543
2016-02,54838
2016-03,67319
2016-04,61025
2016-05,64445
2016-06,55960
2016-07,73527
2016-08,56535
2016-09,45091
2016-10,47458
2016-11,29937
2016-12,105654
2017-01,106248
2017-02,73940
2017-03,82310
2017-04,80277
2017-05,75973
2017-06,72706
2017-07,92427
2017-08,80396
2017-09,75267
2017-10,73196
2017-11,67646
2017-12,67538
