location,address_id,streetsegid,xcoord,ycoord,lat,long,ticket_type,accident_indicator,agency_id,issue_date,issue_time,violation_code,violation_desc
4300 NANNIE HELEN BURROUGHS AVE NE*,805613,4813,405127.16,137046.3,38.9015129493232,-76.94139891645627,MOVING,0,6,2016-01-12,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
WESTERN AVE NW @ NEVADA AVE NW,904031,4160,393674.73999208,144760.08000377,38.97073800000001,-77.072994,MOVING,0,2,2016-01-27,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
700 11TH ST SE,808683,7438,400734.62031863,134715.44997845,38.88119392284335,-76.9914817990493,MOVING,0,1,2016-01-05,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
4300 NANNIE HELEN BURROUGHS AVE NE*,805613,4813,405127.16,137046.3,38.9015129493232,-76.94139891645627,MOVING,0,6,2016-01-11,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
INDEPENDENCE AVE @12 ST SW,900086,2932,397560.70831569,135525.4291152,38.88756900000001,-77.028183,MOVING,0,59,2016-01-07,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
GEORGIA AVE NW @ PARK RD NW,901293,69,397936.35001204,140570.73001588,38.93301,-77.0238,MOVING,0,3,2016-01-28,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
5000 BENNING RD SE,15464,11642,405973,134517.69,38.87846999999999,-76.9311675,MOVING,0,6,2016-01-13,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
S ST NW @ 20TH ST NW,907042,1717,396108.25001034,138470.45314993,38.914092000000004,-77.04489149999999,MOVING,0,2,2016-01-21,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1600 M ST NW,302627,8343,396772.91,137498.17,38.90533500000001,-77.03721,MOVING,0,2,2016-01-11,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
MINNESOTA AVE NE @ NANNIE HELEN BU*,901648,2243,404978.18377857,137120.82601268,38.897401417487885,-76.94705352131068,MOVING,0,6,2016-01-07,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
2200 CONSTITUTION AVE NW,805968,5116,395705.33,136029.65,38.8920225657006,-77.04852299999999,MOVING,0,22,2016-01-21,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
600 U ST NW,229848,11658,398236.8,138726.43,38.916405,-77.020335,MOVING,0,6,2016-01-13,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1700 25 ST SE,811953,10255,402522.01299229,133472.17919329,38.86941322280847,-76.97088500179359,MOVING,0,6,2016-01-16,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
300 UPSHUR ST NW,804738,4085,398589.81,141583.02,38.94209589137656,-77.01547369988879,MOVING,0,4,2016-01-20,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
3400 M ST NW,802745,2125,394081.98,137468.76,38.904980445638515,-77.0679082369694,MOVING,0,2,2016-01-15,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
2301 GEORGIA AVE NW,229522,10152,398125.08,139193.22,38.920608000000016,-77.0216265,MOVING,0,6,2016-01-13,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
600 Q ST E/B NW,218683,6801,398255.12,138125.47,38.91099600000001,-77.0201235,MOVING,0,3,2016-01-13,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
16TH ST NW @ R ST NW,901314,1816,396833.15001101,138305.59999778,38.912607,-77.03652149999999,MOVING,0,2,2016-01-13,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1ST ST NE @ NEW YORK AVE NE,904935,46,399489.48662148,137843.27087735,38.908457999999996,-77.005881,MOVING,0,5,2016-01-16,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
700 15TH ST NW,801016,859,397081.59,136744.65,38.89884038938357,-77.03369888938356,MOVING,0,52,2016-01-16,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
TAYLOR ST NE @ HAWAII AVE NE,906911,2653,400028.61001398,141427.90000068,38.940732,-76.9996755,MOVING,0,4,2016-01-07,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
17TH ST NW @ L ST NW,906899,5964,396659.77097085,137321.43999687,38.903733,-77.0385015,MOVING,0,2,2016-01-22,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
200 PENN AVE SE,812084,10373,399760.21020573,135503.29093918,38.88761668482586,-77.00292737804403,MOVING,0,1,2016-01-09,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
2700 MILITARY RD NW,813636,11739,395074,143679.82,38.96093549462008,-77.0562780053799,MOVING,0,2,2016-01-16,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
9TH ST NW @ PEABODY ST NW,902580,1867,397749.51001187,143866.04000294,38.962701,-77.02596,MOVING,0,4,2016-01-10,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
GEORGIA AVE NW @ QUACKENBOS ST NW,903169,3047,397590.31001172,143984.91001905,38.96376299999999,-77.027805,MOVING,0,4,2016-01-10,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
2400 MARTIN LUTHER KING JR AVE SE,278152,8532,400667.44,132751.21,38.862584999999996,-76.9923135,MOVING,0,7,2016-01-12,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
5300 WISCONSIN AVE NW,265944,9405,392579.42,143504.55,38.959416000000004,-77.085621,MOVING,0,2,2016-02-18,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
200 RHODE ISLAND AVE NE,53095,1303,399716.14,139034.09,38.91917699999999,-77.00328,MOVING,0,3,2016-02-18,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
800 BLADENSBURG RD NE,808465,7244,401462.32,136955.95,38.90022790624092,-76.98337731770681,MOVING,0,1,2016-02-09,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
3300 BENNING RD NE,300816,6467,403946.62,136559.69,38.896884,-76.954509,MOVING,0,25,2016-02-12,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1900 9 ST S/B NW,800252,209,397921.52,138712.81,38.91562575403951,-77.02402802297571,MOVING,0,3,2016-02-03,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
400 BLK RHODE ISLAND AVE NE,288064,1541,399979.85,139150.19,38.920230000000004,-77.000238,MOVING,0,81,2016-02-19,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
3400 13 ST NW,230904,11889,397402.89,140398.72,38.931471000000016,-77.029956,MOVING,0,3,2016-02-11,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
3400 M ST NW,802745,2125,394081.98,137468.76,38.904980445638515,-77.0679082369694,MOVING,0,2,2016-02-12,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
600 NEW YORK AVE E/B NW,218682,10485,398254.2,137254.96,38.91205554760723,-76.99566961719479,MOVING,0,3,2016-02-04,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1200 BLK H STREET NE,72285,26,400865.07,136946.96,38.900375999999994,-76.990032,MOVING,0,1,2016-02-24,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
600 NEW YORK AVE E/B NW,218682,10485,398254.2,137254.96,38.91205554760723,-76.99566961719479,MOVING,0,3,2016-02-04,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1200 FIRST ST NE,302635,9728,399448.73,137581.05,38.906091,-77.00635799999999,MOVING,0,5,2016-02-04,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
600 NEW YORK AVE E/B NW,218682,10485,398254.2,137254.96,38.91205554760723,-76.99566961719479,MOVING,0,3,2016-02-04,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
2000 BLK GA AVE NW,279504,12158,398085.44,138738.3,38.91651300000001,-77.022081,MOVING,0,5,2016-02-05,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
BLADENSBURG RD NE @ MOUNT OLIVET R*,906714,791,401813.88681564,137653.94018917,38.906739,-76.979052,MOVING,0,1,2016-02-12,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
900 9 ST S/B NW,239814,10429,397789.92,136978.7,38.900664000000006,-77.025483,MOVING,0,3,2016-02-12,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
